PCA_Type,MT_e1,MT_f4,MT_a2,MT_b5,MT_a3,MT_b6,MT_ae2,MT_a8,MT_b10,MT_c8,MT_d10,MT_SDDD,MT_c7,MT_d9,MT_ae3,MT_ae7,MT_c2,MT_d5,MT_a1,MT_b4,MT_a7,MT_b9,MT_BpGL,MT_BatfGL,MT_BdGL
Non-draught cattle,0.635482669,0.631899351,0.752536038,0.72688478,0.888713745,0.797689666,0.297383876,0.877373171,0.781584582,0.875505758,0.820740288,1.135258894,1.028519196,1.068073248,0.351197982,0.407312614,0.75093433,0.763300142,1.050689527,1.036931818,1.03071298,1.017117834,0.202669323,0.22812749,0.237888446
Non-draught cattle,0.670951157,0.629863651,0.747091671,0.777487533,0.865732003,0.841428939,0.261284318,0.866432812,0.815848492,0.856718834,0.806379267,1.178193899,0.99033063,1.162356322,0.302777029,0.350280724,0.738715682,0.768463548,1.031812339,1.088792817,1.001559576,1.176005747,0.259453125,0.243242188,0.270078125
Non-draught cattle,0.650231125,0.567175872,0.747424116,0.72629548,0.865527249,0.798969072,0.277360067,0.863855809,0.770017534,0.864821371,0.760958504,1.153389238,1.003735525,1.076923077,0.321186714,0.372058274,0.748259538,0.717750827,1.033898305,1.032119076,1.002614867,1.08974359,,,
Non-draught cattle,0.681852986,0.599527931,0.745050829,0.736326531,0.862496129,0.828536436,0.26859283,0.83986731,0.787314518,0.847708082,0.77945883,1.168907273,1.020697168,1.052238806,0.310932177,0.364560639,0.752006421,0.728979592,1.066232772,1.064516129,1.011256354,1.062843676,0.23465812,0.229273504,0.252863248
Non-draught cattle,0.647526183,0.662701458,0.766367476,0.77433507,0.865533691,0.832792687,0.293030623,0.849575651,0.795717103,0.867134914,0.81487743,1.125739185,1.036376355,1.071507966,0.330948122,0.388247639,0.782206969,0.792980532,1.048392922,1.083653108,1.015389997,1.046313449,0.25920354,0.255265487,0.273097345
Non-draught cattle,0.633869788,0.616037008,0.730331126,0.752898951,0.830671889,0.81671159,0.271258278,0.825943679,0.787240185,0.857998802,0.793013857,1.188219364,0.989633725,1.066381988,0.308526665,0.353835522,0.758675497,0.758420762,1.008412582,1.051272167,0.952660677,1.058618012,0.232058824,0.225252101,0.247857143
Non-draught cattle,0.61351755,0.603056426,0.765415182,0.812606959,0.877198492,0.860205314,0.315154837,0.861239593,0.827716444,0.874498921,0.818419524,1.165061898,1.00176616,1.08722501,0.361180905,0.406216884,0.777199233,0.803479749,1.042942494,1.11637931,0.986577181,1.099575453,0.2260181,0.230678733,0.274886878
Non-draught cattle,0.574429555,0.643025078,0.796514896,0.789132883,0.898541535,0.850682853,0.350758853,0.873074553,0.806154731,0.85767098,0.812769629,1.227509552,0.983398093,1.090698572,0.395688015,0.440833628,0.782462057,0.795608108,1.026439696,1.098354232,1.001059696,1.08182169,0.231085973,0.241900452,0.271357466
Non-draught cattle,0.655612245,0.627252252,0.751590668,0.759472817,0.86750306,0.838944495,0.274655355,0.855719891,0.801274623,0.861454875,0.786790267,1.065896315,0.96386356,1.034666667,0.317013464,0.349881797,0.756627784,0.745744097,1.033163265,1.038288288,0.957446809,1.053714286,,,
Non-draught cattle,0.737055016,0.664576803,0.803016859,0.717091132,0.94665272,0.80061665,0.264123041,0.927570892,0.783702213,0.882473522,0.79342723,1.179289026,0.993843786,1.072529465,0.311366806,0.34359369,0.763975155,0.725989567,1.098300971,1.046574116,1.044632551,1.0593835,0.217877358,0.229386792,0.262641509
Non-draught cattle,0.680143756,0.666666667,0.755219429,0.754022482,0.835100118,0.835409035,0.271410311,0.862110895,0.808173872,0.843142023,0.79588944,1.314913844,1.005802147,1.102782324,0.300117786,0.369596751,0.738602471,0.742561164,1.061695118,1.071741855,1.028430519,1.119803601,,,
Non-draught cattle,0.623688663,0.622627999,0.74410945,0.72317983,0.812448133,0.772677295,0.277172536,0.810206897,0.760551948,0.794758621,0.764069264,1.086067778,0.971997301,1.029154519,0.302627939,0.369095816,0.729921459,0.726524312,0.993908629,1.006444683,0.990890688,1.02441691,0.263209877,0.250082305,0.260576132
Non-draught cattle,0.671551108,0.655198777,0.762876084,0.731374607,0.889681832,0.80764774,0.283783784,0.888361045,0.787125918,0.861935867,0.773856578,1.249281838,0.988087134,1.10435133,0.330954505,0.378829135,0.74018358,0.719045121,1.069335239,1.065749235,1.01837985,1.123287671,0.232131148,0.240901639,0.25442623
Non-draught cattle,0.647754137,0.659481184,0.790771484,0.755651511,0.905254332,0.81350834,0.322509766,0.88861454,0.774537881,0.872153635,0.78391044,1.220848057,1.011454025,1.060958421,0.369200671,0.420299077,0.776123047,0.76479553,1.0938872,1.086956522,1.030544066,1.048273432,0.265850622,0.267385892,0.279170124
Non-draught cattle,0.649512277,0.643035269,0.78435839,0.771805274,0.91523922,0.861834655,0.295621362,0.905610754,0.832831737,0.897720631,0.822435021,1.287012113,0.966949953,1.062566278,0.344949793,0.36764243,0.777524677,0.762170385,1.042381433,1.084431778,0.975448536,1.075998586,0.227741935,0.249758065,0.267983871
Non-draught cattle,0.680408472,0.639312231,0.761313466,0.734496124,0.891149871,0.826737301,0.264900662,0.876707976,0.806873479,0.849698125,0.815693431,1.114444082,0.966389592,1.035121575,0.310077519,0.346946151,0.73785872,0.742524917,1.043494705,1.036733099,0.997108782,1.023928985,0.213795918,0.220979592,0.241306122
Non-draught cattle,0.661726804,0.634904372,0.737512243,0.736451373,0.830438379,0.792754395,0.234573947,0.829295154,0.785431512,0.838105727,0.788862497,1.162348877,0.930317848,0.984194929,0.264130135,0.292787286,0.745347698,0.739668399,0.970360825,1.016393443,0.920537897,0.979914389,,,
Non-draught cattle,0.597994825,0.600813284,0.71120476,0.737992376,0.818544936,0.817567568,0.252850768,0.811368778,0.8026534,0.79581448,0.780541736,1.187519599,0.873641726,0.947969117,0.291012839,0.316671841,0.697570649,0.717662008,0.927878396,0.984073196,0.890717169,0.974823766,0.23172,0.22476,0.24556
Non-draught cattle,0.690024732,0.624618071,0.76324261,0.772491613,0.883768214,0.858062331,0.273339186,0.887678693,0.822669698,0.839686862,0.803507632,1.225408348,0.972408356,1.101513802,0.31650288,0.36815136,0.721978344,0.754498323,1.07502061,1.105630729,1.02798581,1.127782725,0.225066079,0.216431718,0.238017621
Non-draught cattle,0.56433121,0.575729504,0.719948849,0.696837147,0.823099415,0.747113997,0.295076726,0.844394451,0.737273051,0.832770904,0.762904948,1.134827044,0.946717818,1.001870033,0.337353801,0.393435635,0.710038363,0.721063257,0.95626327,0.959240389,0.959931799,0.968209444,0.199,0.208545455,0.218590909
Non-draught cattle,0.692089057,0.703836317,0.826611513,0.833637359,0.956521739,0.909996018,0.322992072,0.945210879,0.886002326,0.902246748,0.82900349,1.212712921,1.010596026,1.092488503,0.37375349,0.413686534,0.789038263,0.780007297,1.135954524,1.168797954,1.058719647,1.167603475,0.205571429,0.222714286,0.242238095
Non-draught cattle,0.616835487,0.596873864,0.757307589,0.735724138,0.848812744,0.791159893,0.283722178,0.838978015,0.759396355,0.847593583,0.775056948,1.131205674,0.971399387,0.971795787,0.318004208,0.360231529,0.765084473,0.750896552,0.986377925,0.969465649,0.961525366,0.952159943,0.235409836,0.223852459,0.246352459
Non-draught cattle,0.698693041,0.612037708,0.807855626,0.796325879,0.940667491,0.861463134,0.282908705,0.907843722,0.819227609,0.878914405,0.784716516,1.197625922,1.037310806,1.033922772,0.329419036,0.375219993,0.782112527,0.762779553,1.075238432,1.084481508,1.071453713,1.079393721,0.260655022,0.245676856,0.280436681
Non-draught cattle,0.612903226,0.654640981,0.738785626,0.755375664,0.834079463,0.826688815,0.263197026,0.837124403,0.796479061,0.825329963,0.758335556,1.200393479,0.930357708,0.965365025,0.297146055,0.336182336,0.728376704,0.719200607,0.952091983,1.045884413,0.943653055,1.013921902,0.249354839,0.243508065,0.256169355
Non-draught cattle,0.66011236,0.64992,0.774406022,0.775360605,0.886853448,0.825528701,0.276876029,0.880684858,0.828239454,0.883895131,0.828997222,1.222843686,0.98245614,1.0921797,0.317079741,0.349985132,0.777228887,0.776069993,1.027465668,1.04928,0.978887898,1.091181364,0.250350195,0.241167315,0.272723735
Non-draught cattle,0.622626889,0.571543732,0.761419843,0.765324519,0.84583064,0.820025757,0.293860925,0.843649259,0.775578563,0.836234687,0.758830694,1.400908773,0.994250671,1.051033319,0.326438268,0.387121502,0.75472796,0.748798077,1.013948082,1.026602177,1.003066309,1.074230283,0.231229508,0.2225,0.223032787
Non-draught cattle,0.581007379,0.585318108,0.729161691,0.731037804,0.853747204,0.810032017,0.296632434,0.962787764,0.797478329,0.969725639,0.805095876,1.297543221,0.972485769,1.033378287,0.347315436,0.392789374,0.73441605,0.738020708,0.979467437,0.990538336,0.965528147,1.023600809,0.24192,0.24624,0.25988
Non-draught cattle,0.672825741,,,,,,,,,,,1.174767596,,,,0.391883519,,,1.075820325,,1.046158612,1.080296896,,,
Non-draught cattle,0.659442724,0.583542939,0.750847016,0.705187468,0.860256793,0.801517805,0.251237946,0.856166419,0.773303295,0.837147103,0.783159673,1.159950016,0.923001311,0.955013736,0.287847119,0.315858453,0.734167318,0.714175655,0.991056072,0.986704995,0.943971166,0.942994505,0.22856,0.23292,0.2438
Non-draught cattle,0.603656546,0.59299558,0.763878423,0.738763347,0.872096358,0.823187604,0.299422256,0.866628669,0.79588015,0.831575948,0.76565008,1.231695721,0.911305434,0.941137784,0.341841124,0.372267333,0.732981663,0.710702756,0.992817499,1.011560694,0.949718926,0.978296613,0.237091633,0.241155378,0.255537849
Non-draught cattle,0.580033698,0.579361609,0.765663391,0.725685786,0.861735223,0.804422944,0.342751843,0.861139896,0.765285996,0.843523316,0.763313609,1.174213619,0.99754902,1.029711752,0.385758728,0.455882353,0.75,0.723815461,1.050126369,1.017927416,1.018382353,1.032372506,,,
Non-draught cattle,0.680267323,0.643669149,0.787903445,0.764408209,0.887836186,0.824189148,0.263357743,0.895223421,0.781546421,0.889984592,0.766599598,1.321969697,0.989379925,1.045062696,0.296760391,0.332648167,0.78329265,0.749789148,1.021807949,1.065856527,0.995203837,1.065438871,0.222893617,0.240297872,0.257617021
Non-draught cattle,0.608413133,0.556399132,0.722109017,0.700421941,0.813719862,0.768074031,0.268976057,0.825808331,0.752834467,0.826682202,0.790249433,1.247227658,0.934167215,1.013081395,0.303099885,0.347597103,0.722873153,0.735232068,0.969562244,0.960231381,0.933179724,0.965116279,0.266978723,0.227319149,0.250680851
Non-draught cattle,0.638051857,0.653168354,0.741664479,0.736400541,0.835304554,0.821062161,0.263586243,0.86365026,0.808618128,0.873738918,0.783952452,1.234231566,0.948556256,0.988755622,0.29686576,0.333222702,0.75032817,0.713937754,0.989838823,1.020247469,0.937603717,1.019865067,,,
Non-draught cattle,0.630221932,0.659215956,0.769858946,0.790500642,0.873140612,0.841027042,0.292006929,0.877574048,0.83805117,0.855571227,0.818181818,1.33908223,0.964081373,1.074722917,0.331181589,0.375079466,0.750556793,0.771758665,1.015339426,1.058803301,0.988874762,1.10082231,,,
Non-draught cattle,0.600862641,0.590860022,0.787051088,0.813235679,0.869759642,0.859552115,0.32903389,0.859906051,0.80377456,0.779773418,0.769389866,1.170473917,0.910029023,1.038018835,0.363610956,0.419542083,0.713707638,0.778446246,1.03251493,1.118747751,1.003547243,1.08440879,0.274449153,0.270974576,0.284788136
Non-draught cattle,0.609620077,0.599637024,0.781465407,0.795519667,0.886989278,0.876578645,0.334950217,0.885962373,0.846921797,0.831837916,0.79839157,1.205381166,0.943222842,1.020198441,0.380179658,0.430587463,0.733724789,0.749934879,1.066922273,1.108529946,1.004594683,1.082211198,0.224942529,0.229157088,0.249693487
Chillingham,0.660845588,0.639282342,0.837781629,0.806669032,0.939005439,0.878331402,0.339341421,0.940101128,0.866946245,0.885647608,0.844452917,1.055443953,1.027990971,1.081542969,0.38034188,0.441986456,0.789254766,0.785739624,1.110753676,1.073654391,1.091196388,1.110351563,0.217135922,0.223883495,0.252184466
Chillingham,0.650815217,0.638268156,0.817073171,0.813440672,0.932354078,0.879303821,0.330284553,0.929838088,0.867487869,0.880493446,0.860022396,1.07421724,1.008833922,1.06864564,0.376884422,0.43065371,0.773712737,0.806440322,1.092391304,1.081936685,1.065371025,1.077922078,0.207850467,0.218084112,0.24317757
Chillingham,0.675244011,0.608863198,0.819598338,0.823717949,0.907244155,0.89064305,0.292590028,0.921370183,0.877133106,0.88478007,0.8407281,1.014057009,1.004862953,1.073088093,0.323878881,0.373563218,0.787049861,0.789529915,1.050133097,1.11416185,1.046419098,1.119554695,0.214585366,0.223121951,0.25097561
Chillingham,0.676422094,0.696684588,0.873946958,0.880286272,1.008279338,0.950140449,0.361934477,0.994673295,0.916046039,0.935724432,0.86492891,1.053106212,1.069833536,1.127040141,0.417566595,0.470970361,0.822152886,0.831164606,1.154575433,1.212365591,1.137231019,1.193647993,0.231843318,0.230506912,0.272211982
Chillingham,0.687817259,0.702859696,0.87463367,0.871366522,1.000372439,0.938804896,0.345164442,0.978506375,0.907446068,0.904189435,0.864300626,1.122210779,1.010997963,1.13166287,0.394785847,0.431771894,0.808205796,0.829936519,1.136209814,1.165326184,1.094093686,1.188154897,0.229230769,0.231085973,0.257511312
Chillingham,0.696382429,0.648062731,0.893793561,0.883633889,0.997038134,0.939920376,0.35711915,1.00597684,0.902990264,0.957788569,0.853963839,1.04451683,1.038477116,1.118906606,0.398370974,0.435803969,0.850979091,0.835658387,1.159776055,1.197878229,1.09072499,1.183143508,0.233714286,0.235857143,0.272285714
Chillingham,0.721050366,0.753167527,0.871226718,0.87818986,1.005559674,0.958054937,0.333333333,1.00147656,0.917199716,0.911775563,0.860341151,1.091814159,1.008574929,1.117212737,0.384729429,0.423846468,0.793192036,0.823749575,1.167886354,1.211168466,1.107799102,1.191047531,0.223598131,0.224392523,0.263598131
Chillingham,0.677316294,0.603688933,0.834351419,0.805329386,0.928057554,0.852330591,0.301113906,0.911660777,0.846363283,0.866117,0.821859199,1.28688172,1.003183265,1.024733269,0.334932054,0.38108231,0.792669781,0.782013323,1.05979005,1.084745763,1.055934516,1.05528613,0.207056075,0.20728972,0.230747664
Chillingham,0.698929527,0.589792971,0.837911156,0.801997859,0.967501958,0.868288915,0.306544591,0.989191353,0.830746489,0.938350681,0.837398374,1.158730159,1.031236252,1.06335054,0.353954581,0.397712275,0.79484571,0.80841955,1.102140946,1.082330284,1.087109547,1.054903801,0.211809524,,0.246428571
Chillingham,0.686424474,0.615743138,0.850091408,0.846482705,0.961140967,0.894455852,0.325045704,0.975660932,0.870851659,0.906000839,0.826869252,1.089944845,1.03748198,1.046029337,0.367507234,0.427198462,0.789396709,0.803731053,1.111376673,1.127912998,1.117251321,1.101669196,0.20569378,0.212057416,0.235645933
Chillingham,0.703934741,0.637762955,0.849124061,0.834023335,0.975760066,0.908941756,0.324633536,0.988347898,0.876235666,0.919267582,0.85567418,1.213906325,1.024107557,1.101272265,0.37304848,0.42095503,0.789774759,0.81445239,1.139635317,1.13699333,1.101066296,1.127735369,,,
Chillingham,0.672627235,0.601193436,0.827502598,0.809647495,0.955982393,0.863132911,0.31936266,0.947264076,0.849357727,0.925455987,0.863760218,1.230483271,1.062357761,1.090953786,0.368947579,0.419663177,0.80845168,0.823376623,1.095369097,1.085032322,1.087391898,1.072763029,0.216285714,,0.243
Chillingham,0.721223022,0.651701323,0.853740356,0.904047976,0.976217875,0.930914705,0.315665884,0.982246237,0.897655378,0.927827094,0.858950502,1.20953934,1.060432289,1.096437055,0.360951285,0.415086017,0.806440792,0.865067466,1.144334532,1.139886578,1.122629025,1.14584323,0.215833333,0.219074074,0.249861111
Chillingham,0.720588235,0.770014556,0.830909706,0.886490251,0.947185813,0.969166349,0.300642543,0.940298507,0.924137931,0.862610027,0.856987296,1.138165799,0.983849847,1.136735676,0.342713955,0.388040157,0.762259046,0.822075209,1.129136029,1.235322659,1.072457442,1.225806452,0.215045872,0.216926606,0.244724771
Chillingham,0.701971573,0.619672131,0.827609657,0.814316088,0.940131325,0.88863109,0.307038422,0.945609946,0.865210843,0.883061383,0.837349398,1.115384615,1.029438406,1.052531945,0.348783314,0.408967391,0.772866372,0.788093551,1.116001834,1.076346604,1.102355072,1.087553242,0.219714286,0.218952381,0.246285714
Chillingham,0.722351843,0.630508475,0.826341128,0.809152182,0.947928994,0.882739938,0.294016506,0.944946913,0.858487015,0.889893826,0.841550621,1.197921178,1.017993702,1.098771499,0.337278107,0.384615385,0.778198074,0.793189074,1.121325245,1.104600484,1.08097166,1.120884521,0.211380952,0.21852381,0.242142857
Chartley,0.737921446,0.728436911,0.841472969,0.826974745,0.969605778,0.918257757,0.28702011,0.948204826,0.882454128,0.902884049,0.83858945,1.059184813,1.06122449,1.104607251,0.330725248,0.380145278,0.801253591,0.785867813,1.11991658,1.159322034,1.114493255,1.162386707,0.262572614,0.262987552,0.277095436
Chartley,0.723498589,0.728285078,0.827702703,0.820044829,0.960784314,0.887387387,0.276412776,0.967684022,0.861129792,0.949012567,0.831876261,1.186983471,1.122292994,1.086040386,0.320855615,0.382165605,0.811732187,0.792187,1.086255542,1.140757238,1.144373673,1.124231782,0.242962963,0.25337963,0.263657407
Chartley,0.748013982,0.667336011,0.800518135,0.801992225,0.909553117,0.870516878,0.24611399,0.916913947,0.834850784,0.878338279,0.765300961,1.139405204,0.994805988,1.046334716,0.279636072,0.319278949,0.766839378,0.735179786,1.080076263,1.104752343,1.038496792,1.14142462,0.275062241,0.274190871,0.292987552
Non-draught cattle,0.744126285,0.693392725,0.799090423,0.80462585,0.941974141,0.8993309,0.25682183,0.926488834,0.87511098,0.871277916,0.826871856,1.027498522,0.996452643,1.04919264,0.302743614,0.340546293,0.751471375,0.760272109,1.096549192,1.09762435,1.059595601,1.110401802,0.238851064,0.249702128,0.275191489
Non-draught cattle,0.67721519,0.65210154,0.800861804,0.780897162,0.880541455,0.837643208,0.27393044,0.874621849,0.823889247,0.865882353,0.828718609,1.201253225,0.997289973,1.09021601,0.301184433,0.344560588,0.792859341,0.785474519,1.029272152,1.064918851,1.007355788,1.08386277,0.210585774,0.225020921,0.239539749
Romanian Grey & Brown (draught),0.722111554,0.702794819,0.806212664,0.827042523,0.907965554,0.882712902,0.286499403,0.886727989,0.847698335,0.91195795,0.849902057,1.281442663,1.05215282,1.142904182,0.322658773,0.363553669,0.829151732,0.829192547,1.120185923,1.1799591,1.023044269,1.139940731,0.298056995,0.303799655,0.321588946
Romanian Grey & Brown (draught),0.746447742,0.707676835,0.852638954,0.799056604,0.947081712,0.865610629,0.300560486,0.927355855,0.832432432,0.892557785,0.82997543,1.249054224,1.0667881,1.120026525,0.33385214,0.390710383,0.820644559,0.796698113,1.152826018,1.13576936,1.108378871,1.123342175,0.274354704,0.277893422,0.313863447
Romanian Grey & Brown (draught),0.767761394,0.689581857,0.838894422,0.822653885,0.927588106,0.871226289,0.268426295,0.91548913,0.811799851,0.917934783,0.807816779,1.112857592,1.038426068,1.102991162,0.296806167,0.331386413,0.841135458,0.818617558,1.129021448,1.15556343,1.035659391,1.10842964,0.280350438,0.275552774,0.293867334
Romanian Grey & Brown (draught),0.900058275,0.757545932,1.001395349,0.890862351,1.10922205,0.955388471,0.283023256,1.068486352,0.883839555,0.979900744,0.862972409,1.137191539,1.07543573,1.191802754,0.313498197,0.331427015,0.918372093,0.869829399,1.254662005,1.250656168,1.172657952,1.220621198,0.272151899,0.286647611,0.345855451
Romanian Grey & Brown (draught),0.813839129,0.7131178,0.876705142,0.811640212,0.990222222,0.884404728,0.268887723,0.991691395,0.849155826,0.951632047,0.873235538,1.189267352,1.060515873,1.138167388,0.303703704,0.338955026,0.841290661,0.834656085,1.173867229,1.140096618,1.10515873,1.106782107,0.271826758,0.287006861,0.3
Romanian Grey & Brown (draught),0.736482085,0.697643979,0.798795181,0.792599805,0.885653219,0.848800834,0.253975904,0.860815373,0.808944099,0.85042846,0.780869565,0.990963855,1.006453596,1.031167979,0.281592306,0.323909035,0.789156627,0.765092502,1.07980456,1.065445026,1.018746159,1.06824147,0.2532,0.25948,0.2776
Romanian Grey & Brown (draught),0.65828845,0.675362319,0.770318815,0.768917082,0.861843758,0.833292413,0.276380781,0.837851038,0.764242288,0.836630037,0.775726188,1.071859428,0.944061725,1.069875776,0.309218789,0.339211904,0.769196228,0.780471228,1.02663076,1.093075684,0.945439515,1.054037267,0.292868526,0.297131474,0.298565737
Romanian Grey & Brown (draught),0.700619195,0.730122818,0.792348467,0.841908326,0.88267009,0.903387704,0.270799723,0.867087011,0.847856806,0.870617907,0.811351861,1.13785822,1.023117961,1.081293158,0.301668806,0.348251334,0.795575017,0.805659495,1.064396285,1.16354234,1.018968583,1.129943503,0.294836844,0.293680297,0.309995869
Romanian Grey & Brown (draught),0.815032906,0.743780171,0.841854637,0.822126364,0.971370735,0.91319053,0.252130326,0.964121699,0.891089109,0.930252583,0.886413641,1.255016981,1.079613591,1.209834835,0.290919607,0.335109927,0.812280702,0.817812738,1.163491514,1.203119198,1.11892072,1.216216216,0.273351648,0.268053375,0.279160126
Romanian Grey & Brown (draught),0.736119585,0.699117935,0.863345196,0.846933962,0.960411718,0.907735086,0.290865955,0.961680761,0.86718184,0.930496829,0.851002173,1.184491979,0.998865248,1.138242894,0.323568224,0.347801418,0.835349941,0.831132075,1.110128127,1.173146031,1.032340426,1.159883721,0.294225621,0.283824092,0.297552581
Romanian Grey & Brown (draught),0.830558639,0.739182692,0.913745131,0.898866609,1.017033137,0.957585139,0.289092933,1.02241594,0.909973522,0.95516812,0.902030009,1.111075646,1.091426539,1.208990536,0.321771446,0.369619353,0.853644964,0.891020052,1.214946356,1.239182692,1.16826752,1.219637224,0.263141729,0.283369899,0.30276437
Romanian Grey & Brown (draught),0.753992395,0.731549067,0.863597613,,0.964455728,0.897965475,0.300085251,0.965988557,0.866190901,0.880801017,0.832887303,1.051602024,1.033955224,1.120848339,0.335131704,0.394029851,0.787439614,,1.155513308,1.181265207,1.133955224,1.165666267,0.256081668,0.26164205,0.278019114
Romanian Grey & Brown (draught),0.870385233,0.779090114,0.854220686,0.850674663,0.994632674,0.948829431,0.229328724,0.988662888,0.897500791,0.95831944,0.882315723,1.034891599,1.103686636,1.202155172,0.267024488,0.305683564,0.828003457,0.836281859,1.189807384,1.241032371,1.138632873,1.222844828,0.240616855,0.245655951,0.269591659
Romanian Grey & Brown (non-draught),0.691078562,0.686968839,0.790640994,0.785993167,0.920283688,0.874084125,0.284669754,0.91664312,0.857104843,0.91466516,0.86056413,1.175384615,1.046895213,1.129584352,0.331347518,0.37774903,0.788934926,0.789165447,1.079893475,1.140580737,1.04915912,1.12504366,0.269795918,0.26677551,0.285632653
Romanian Grey & Brown (non-draught),0.69646882,0.635826772,0.808600337,0.78405879,0.885775862,0.833283268,0.287521079,0.884414387,0.796668581,0.85828466,0.794945434,1.126683772,1.006126126,1.090192989,0.314963054,0.368648649,0.784710512,0.782362917,1.080766341,1.092125984,1.036756757,1.092556124,0.257998289,0.259923011,0.262061591
Romanian Grey & Brown (non-draught),0.732519423,0.719469372,0.852649007,0.826086957,0.952821462,0.88795686,0.306291391,0.936931474,0.853932584,0.939357186,0.857677903,1.108838821,1.09858156,1.145881447,0.342275671,0.393617021,0.854856512,0.829710145,1.143174251,1.156457277,1.095744681,1.140877598,0.250529437,0.278398983,0.27090216