ID,Type,Age,Sex,MT_GL,MT_Bd,MT_DD,MT_Bp,MT_SD,MT_Batf,MT_a,MT_b,MT_c,MT_d,MT_e,MT_f,MT_1,MT_2,MT_3,MT_4,MT_5,MT_6,MT_7,MT_8,MT_9,MT_10,MT_e1,MT_f4,MT_Bd_GL
612,Non-draught,,Female,251,59.71,28.39,50.87,32.23,57.26,28.19,25.55,28.13,26.83,17.05,15.57,26.83,37.46,31.72,24.64,35.15,32.03,27.35,32.13,25.12,32.69,0.635482669,0.631899351,0.237888446
891,Non-draught,3.9,Male,256,69.14,33.11,66.42,39.01,62.27,32.11,32.74,31.75,32.36,20.88,18.94,31.12,42.98,37.09,30.07,42.11,38.91,32.06,37.06,27.84,40.13,0.670951157,0.629863651,0.270078125
476,Non-draught,7,Female,,56.83,28.62,,33.01,56.23,26.84,26.35,26.87,26.04,16.88,14.48,25.96,35.91,31.01,25.53,36.28,32.98,26.77,31.07,24.18,34.22,0.650231125,0.567175872,
1148(644),Non-draught,2.6,Male,234,59.17,29.01,54.91,33.91,53.65,27.85,27.06,28.11,26.79,17.81,15.24,26.12,37.38,32.29,25.42,36.75,32.66,27.54,33.16,25.46,34.37,0.681852986,0.599527931,0.252863248
354(582),Non-draught,6.3,Male,226,61.72,32.13,58.58,36.17,57.69,29.03,28.24,29.63,28.92,17.93,17.27,27.69,37.88,33.54,26.06,36.47,33.91,28.59,34.17,26.99,35.49,0.647526183,0.662701458,0.273097345
1157(645),Non-draught,8.4,Female,238,58.99,29.54,55.23,35.1,53.61,27.57,27.27,28.64,27.47,17.33,15.98,27.34,37.75,33.19,25.94,36.22,33.39,28.94,33.38,25.76,34.64,0.633869788,0.616037008,0.247857143
195(481),Non-draught,4.8,Male,221,60.75,29.08,49.95,33.88,50.98,27.93,28.49,28.36,28.17,16.43,15.39,26.78,36.49,31.84,25.52,35.06,33.12,28.31,32.43,25.91,34.42,0.61351755,0.603056426,0.274886878
194,Non-draught,7.2,Female,221,59.97,28.79,51.07,35.34,53.46,28.34,28.03,27.84,28.26,15.86,16.41,27.61,35.58,31.54,25.52,35.52,32.95,28.31,32.46,25.91,34.77,0.574429555,0.643025078,0.271357466
700(622),Non-draught,8,Female,,59.95,32.02,60.55,34.13,54.31,28.35,27.66,28.54,27.16,17.99,16.71,27.44,37.72,32.68,26.64,36.42,32.97,29.61,33.13,26.25,34.52,0.655612245,0.627252252,
415(557),Non-draught,12.2,Male,212,55.68,25.88,46.19,30.52,48.63,27.15,23.37,25.83,23.66,18.22,14.84,24.72,33.81,28.68,22.33,32.59,29.19,25.99,29.27,22.06,29.82,0.737055016,0.664576803,0.262641509
298(573),Non-draught,6.8,Male,,74.23,33.66,76.63,44.26,71.93,35.45,34.21,34.67,33.69,22.71,21.28,33.39,46.94,42.45,31.92,45.37,40.95,34.47,41.12,30.55,42.33,0.680143756,0.666666667,
657(546),Non-draught,9.5,Castrated Male,243,63.32,37.18,63.96,40.38,60.77,29.37,28.11,28.81,28.24,18.43,17.39,29.55,39.47,36.15,27.93,38.87,36.38,29.64,36.25,27.44,36.96,0.623688663,0.622627999,
564(158),Non-draught,11.5,Female,244,62.08,31.33,56.64,39.14,58.78,29.92,27.88,29.03,27.41,18.79,17.14,27.98,39.22,33.63,26.16,38.12,34.52,29.38,33.68,24.82,35.42,0.671551108,0.655198777,0.25442623
568(207),Non-draught,5,Male,241,67.28,33.96,64.07,41.46,64.44,32.39,29.75,31.79,30.11,19.18,18.05,29.61,40.96,35.78,27.37,39.37,36.57,31.43,36.45,28.38,38.41,0.647754137,0.659481184,0.279170124
586(417),Non-draught,1.9,Male,248,66.46,29.72,56.48,38.25,61.94,30.99,30.44,30.72,30.06,19.31,18.05,29.73,39.51,33.86,28.07,39.44,35.32,31.77,34.22,28.29,36.55,0.649512277,0.643035269,0.267983871
581(344),Non-draught,12.3,Female,245,59.12,30.67,52.38,34.18,54.14,27.59,26.53,26.74,26.82,17.99,16.36,26.44,36.24,30.96,25.59,36.12,32.09,27.67,31.47,25.91,32.88,0.680408472,0.639312231,0.241306122
569(209),Non-draught,11.1,Male,,65.18,34.74,,40.38,62.38,30.12,29.76,30.44,29.89,20.54,18.59,31.04,40.84,36.27,29.28,40.41,37.54,32.72,36.32,30.37,37.89,0.661726804,0.634904372,
617(564),Non-draught,9.8,Female,250,61.39,31.89,57.93,37.87,56.19,28.69,29.04,28.14,28.24,18.49,17.73,30.92,40.34,35.05,29.51,39.35,35.52,32.21,35.36,29.79,36.18,0.597994825,0.600813284,0.24556
556(395),Non-draught,8,Female,227,54.03,27.55,51.09,33.76,49.13,26.08,25.33,24.67,24.74,16.74,14.31,24.26,34.17,29.51,22.91,32.79,29.52,25.37,29.38,22.46,30.79,0.690024732,0.624618071,0.238017621
532(316),Non-draught,4,Female,220,48.09,25.44,43.78,28.87,45.88,22.52,20.71,22.21,21.43,13.29,12.43,23.55,31.28,27.36,21.59,29.72,27.72,23.46,26.67,21.39,28.09,0.56433121,0.575729504,0.218590909
555(390),Non-draught,18.3,Female,210,50.87,24.07,43.17,29.19,46.77,23.98,22.85,22.89,21.38,14.61,13.76,21.11,29.01,25.07,19.55,27.41,25.11,22.65,25.37,19.57,25.79,0.692089057,0.703836317,0.242238095
579(338),Non-draught,3.6,Male,244,60.11,31.02,57.44,35.09,54.62,28.24,26.67,28.53,27.22,17.66,16.42,28.63,37.29,33.27,27.51,36.25,33.71,29.37,33.66,28.01,35.12,0.616835487,0.596873864,0.246352459
110,Non-draught,,Male,229,64.22,31.17,59.69,37.33,56.26,30.44,29.91,29.47,28.65,19.78,16.88,28.31,37.68,32.36,27.58,37.56,34.72,28.41,33.53,27.71,36.51,0.698693041,0.612037708,0.280436681
590(424),Non-draught,10,Male,248,63.53,35.58,61.84,42.71,60.39,29.81,29.86,29.39,28.43,19.19,18.69,31.31,40.35,35.74,28.55,39.53,36.12,31.59,35.61,29.45,37.49,0.612903226,0.654640981,0.256169355
576(320),Non-draught,4.7,Male,257,70.09,33.97,64.34,41.54,61.98,32.92,32.79,33.04,32.82,21.15,20.31,32.04,42.51,37.12,31.25,42.29,39.72,33.63,37.38,30.05,39.59,0.66011236,0.64992,0.272723735
540(571),Non-draught,4.3,Female,244,54.42,28.61,56.42,40.08,54.29,26.17,25.47,25.94,24.92,16.07,14.18,25.81,34.37,30.94,24.81,33.28,31.06,26.09,31.02,23.71,32.84,0.622626889,0.571543732,0.223032787
547(734),Non-draught,6.8,Male,250,64.97,32.97,60.48,42.78,61.56,30.53,30.36,30.75,30.65,18.11,17.94,31.17,41.87,35.76,30.65,41.53,37.48,31.62,31.71,29.66,38.07,0.581007379,0.585318108,0.25988
327(259),Non-draught,,Male,,71.96,37.65,,44.23,68.82,33.77,32.02,,,21.12,19.15,31.39,,,,29.17,,32.28,,29.64,,0.672825741,,
592(432),Non-draught,10.3,Female,250,60.95,32.01,57.14,37.13,58.23,28.81,27.46,28.17,27.81,19.17,16.24,29.07,38.37,33.49,27.83,38.94,34.26,30.52,33.65,29.12,35.51,0.659442724,0.583542939,0.2438
619(598),Non-draught,5.2,Male,251,64.14,31.55,59.51,38.86,60.53,30.41,29.75,29.18,28.62,18.49,17.44,30.63,39.81,34.87,29.41,40.27,36.14,32.02,35.09,30.41,37.38,0.603656546,0.59299558,0.255537849
537(516),Non-draught,16.7,Female,,51.71,28.93,,33.97,47.56,24.93,23.28,24.42,23.22,13.77,13.25,23.74,32.56,28.93,22.87,32.08,28.94,24.48,28.95,22.55,30.42,0.580033698,0.579361609,
583(376),Non-draught,2.9,Female,235,60.54,29.04,52.38,38.39,56.47,29.05,27.19,28.88,26.67,19.34,16.42,28.43,36.87,32.72,25.51,35.57,32.99,29.19,32.45,25.52,34.79,0.680267323,0.643669149,0.257617021
566(201),Non-draught,6.9,Male,,,,,,,,,,,,,,,,,,,,,,,,,
565(161),Non-draught,7,Male,235,58.91,30.66,62.74,38.24,53.42,28.35,26.56,28.38,27.88,17.79,15.39,29.24,39.26,34.84,27.66,37.92,34.58,30.38,34.33,27.52,35.28,0.608413133,0.556399132,0.250680851
580(339),Non-draught,4.6,Female,,59.22,33.77,,41.68,57.28,28.25,27.21,28.58,26.38,18.21,17.42,28.54,38.09,33.82,26.67,36.95,33.14,30.13,32.71,26.68,33.65,0.638051857,0.653168354,
612(528),Non-draught,7.3,Male,,66.53,32.47,,43.48,62.31,31.11,30.79,30.33,30.06,19.31,19.17,30.64,40.41,35.63,29.08,38.95,36.61,31.46,35.45,27.97,36.74,0.630221932,0.659215956,
215(570),Non-draught,3.5,Male,236,67.21,29.33,64.77,34.33,63.95,31.12,31.09,28.22,29.76,18.11,16.42,30.14,39.54,35.78,27.79,38.23,36.17,31.01,36.19,28.67,38.68,0.600862641,0.590860022,0.284788136
572(229),Non-draught,3.6,Male,261,65.17,33.45,58.71,40.32,59.81,30.61,30.54,28.74,28.79,17.49,16.52,28.69,39.17,34.51,27.55,38.39,34.84,30.47,34.55,28.22,36.06,0.609620077,0.599637024,0.249693487
R671,Non-draught,3.5,Female,206,51.95,24.89,44.73,26.27,46.12,24.17,22.74,22.77,22.15,14.38,13.54,21.76,28.85,25.74,21.18,28.19,25.89,22.15,25.71,20.48,26.23,0.660845588,0.639282342,0.252184466
R673,Non-draught,3.5,Female,214,52.04,25.87,44.48,27.79,46.67,24.12,23.24,22.84,23.04,14.37,13.71,22.08,29.52,25.87,21.48,28.57,26.43,22.64,25.94,21.56,26.79,0.650815217,0.638268156,0.24317757
R672,Non-draught,3.5,Female,205,51.45,25.61,43.99,25.97,45.74,23.67,23.13,22.73,22.17,15.22,12.64,22.54,28.88,26.09,20.76,28.08,25.97,22.62,25.69,20.66,26.37,0.675244011,0.608863198,0.25097561
R625,Non-draught,,Male,217,59.07,29.94,50.31,31.53,50.02,28.01,27.06,26.35,25.55,16.41,15.55,24.26,32.05,27.78,22.32,30.74,28.48,24.63,28.16,22.67,29.54,0.676422094,0.696684588,0.272211982
R760,Non-draught,,Male,221,56.91,29.13,50.66,32.69,51.07,26.86,26.08,24.82,24.84,16.26,15.73,23.64,30.71,26.85,22.38,29.93,27.78,24.55,27.45,21.95,28.74,0.687817259,0.702859696,0.257511312
1953.4.22.6,Non-draught,9.6,Male,210,57.18,27.63,49.08,28.86,49.53,26.93,25.97,25.64,24.56,16.17,14.05,23.22,30.13,27.01,21.68,29.39,27.63,24.69,26.77,21.95,28.76,0.696382429,0.648062731,0.272285714
1953.4.22.5,Non-draught,8.1,Male,214,56.41,27.12,47.85,29.61,48.02,27.13,25.81,24.7,24.21,16.75,16.05,23.23,31.14,26.98,21.31,29.39,26.94,24.49,27.09,21.67,28.14,0.721050366,0.753167527,0.263598131
1953.4.22.4,Non-draught,1.5,Female,214,49.38,23.25,44.31,29.92,44.36,23.22,21.76,22.06,21.13,14.84,12.11,21.91,27.83,25.02,20.06,27.02,25.53,21.99,25.47,20.62,25.71,0.677316294,0.603688933,0.230747664
1953.4.22.9,Non-draught,,Unknown,210,51.75,23.31,44.48,27.01,,24.71,22.48,23.44,22.66,15.67,12.25,22.42,29.49,25.54,20.77,28.03,25.89,22.73,24.98,21.31,27.06,0.698929527,0.589792971,0.246428571
1953.4.22.9a,Non-draught,,Unknown,209,49.25,23.57,42.99,25.69,44.32,23.25,21.78,21.59,20.68,14.36,11.89,20.92,27.35,24.19,19.31,25.73,24.35,20.81,23.83,19.77,25.01,0.686424474,0.615743138,0.235645933
1953.4.22.9b,Non-draught,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,
1953.4.22.1,Non-draught,,Unknown,,50.24,20.71,42.34,25.14,,23.75,22.16,22.09,21.64,14.67,12.43,20.84,27.97,24.34,19.49,26.57,24.38,21.57,24.03,19.65,25.29,0.703934741,0.637762955,
1953.4.22.2,Non-draught,,Unknown,210,51.03,21.52,45.42,26.48,,23.89,21.82,23.34,22.19,14.67,12.09,21.81,28.87,24.99,20.11,26.95,25.28,21.97,25.22,20.34,25.69,0.672627235,0.601193436,0.243
1981.984,Non-draught,14,Female,216,53.97,24.53,46.62,29.67,47.32,25.45,24.12,24.04,23.08,16.04,13.79,22.24,29.81,26.07,21.16,26.68,25.91,22.67,25.91,21.05,26.87,0.721223022,0.651701323,0.249861111
1981.989,Non-draught,10,Female,218,53.35,24.97,46.88,28.42,47.29,24.57,25.46,22.54,23.61,15.68,15.87,21.76,29.57,25.94,20.61,28.72,26.27,22.91,26.13,20.77,27.55,0.720588235,0.770014556,0.244724771
1981.986,Non-draught,14,Female,210,51.72,24.44,46.14,27.26,45.98,24.34,22.98,22.73,22.24,15.31,13.23,21.81,29.41,25.89,21.35,28.22,25.86,22.08,25.74,21.13,26.56,0.701971573,0.619672131,0.246285714
1981.985,Non-draught,5,Female,210,50.85,23.09,44.39,27.66,45.89,24.03,22.81,22.63,22.36,15.48,13.02,21.43,29.08,25.35,20.65,28.19,25.84,22.23,25.43,20.35,26.57,0.722351843,0.630508475,0.242142857
1924.4.28.1,Non-draught,12.35,Male,241,66.78,35.82,63.28,37.94,63.38,32.22,30.78,30.68,29.25,21.23,19.34,28.77,38.29,33.23,26.55,37.22,33.52,28.91,33.98,26.48,34.88,0.737921446,0.728436911,0.277095436
1980.2665,Non-draught,10.47,Male,216,56.95,29.04,52.48,34.47,54.73,26.95,25.61,26.43,24.74,17.95,16.35,24.81,32.56,28.05,22.45,31.23,28.86,23.55,27.85,22.78,29.74,0.723498589,0.728285078,0.263657407
1975.303,Non-draught,,Male,241,70.61,37.66,66.29,42.91,66.08,33.99,33.01,32.56,30.26,23.54,19.94,31.47,42.46,37.37,29.88,41.16,37.92,32.73,37.07,28.92,39.54,0.748013982,0.667336011,0.292987552
2002.118,Non-draught,,Female,235,64.67,33.82,56.13,34.75,58.68,29.87,29.57,28.09,27.94,20.27,18.68,27.24,37.38,31.71,26.94,36.75,32.88,28.19,32.24,26.63,33.79,0.744126285,0.693392725,0.275191489
2002.117,Non-draught,3.75,Castrated Male,239,57.25,27.13,50.33,32.59,53.78,26.02,25.59,25.76,25.74,17.12,15.67,25.28,32.49,29.55,24.03,32.77,30.55,25.83,29.75,23.61,31.06,0.67721519,0.65210154,0.239539749
91.107.M1,Draught,6,Castrated Male,231.60,74.48,32.44,69.03,41.57,70.36,33.74,34.62,34.70,34.71,21.75,20.62,30.12,41.85,37.16,29.34,41.86,39.22,32.98,38.05,30.37,40.84,0.722111554,0.702794819,0.321588946
91.107.M2,Draught,8,Castrated Male,240.20,75.39,31.72,65.90,39.62,66.75,36.51,33.88,35.14,33.78,23.64,21.11,31.67,42.82,38.55,29.83,42.40,39.14,32.94,39.37,30.16,40.70,0.746447742,0.707676835,0.313863447
91.107.M3,Draught,10,Castrated Male,239.70,70.44,31.81,67.20,35.40,66.05,33.69,32.61,33.78,32.45,22.91,19.46,29.84,40.16,36.32,28.22,39.64,37.43,32.53,36.80,29.42,40.17,0.767761394,0.689581857,0.293867334
91.107.M4,Draught,14,Castrated Male,244.90,84.70,34.04,66.65,38.71,70.20,43.06,38.12,39.49,37.22,30.89,23.09,34.32,43.00,38.82,30.48,42.79,39.90,36.72,40.30,31.23,43.13,0.900058275,0.757545932,0.345855451
91.107.M5,Draught,6,Castrated Male,233.20,69.96,31.12,63.39,37.01,66.93,33.42,30.68,32.07,31.55,23.17,19.19,28.47,38.12,33.75,26.91,37.80,34.69,30.24,33.70,27.72,36.13,0.813839129,0.7131178,0.3
91.107.M6,Draught,19,Castrated Male,250.00,69.40,33.20,63.30,32.90,64.87,33.15,32.56,32.75,31.43,22.61,21.32,30.70,41.50,37.43,30.56,41.08,38.36,32.54,38.51,30.48,40.25,0.736482085,0.697643979,0.2776
91.107.M7,Draught,14,Castrated Male,251.00,74.94,38.13,73.51,40.87,74.58,34.31,33.94,34.26,34.45,22.00,20.97,33.42,44.54,39.81,31.05,44.14,40.73,36.29,40.95,32.20,44.41,0.65828845,0.675362319,0.298565737
91.107.M8,Draught,,Castrated Male,,,,,,,,,,,,,,,,,,,,,,,,,
91.107.M9,Draught,12,Castrated Male,242.10,75.05,33.15,71.38,37.72,71.10,34.38,36.00,34.52,34.45,22.63,22.59,32.30,43.39,38.95,30.94,42.76,39.85,33.74,39.65,31.86,42.46,0.700619195,0.730122818,0.309995869
91.107.M10,Draught,9,Castrated Male,254.80,71.13,32.39,69.65,40.65,68.30,33.59,32.40,32.41,32.23,23.53,20.03,28.87,39.90,34.58,26.93,39.41,35.48,30.02,34.84,26.64,36.36,0.815032906,0.743780171,0.279160126
91.107.M11,Draught,8,Castrated Male,261.50,77.81,37.40,76.94,44.30,74.22,36.39,35.91,35.21,35.24,24.13,21.40,32.78,42.15,37.89,30.61,42.40,39.56,35.25,37.84,30.96,41.41,0.736119585,0.699117935,0.297552581
91.107.M12,Draught,9,Castrated Male,227.90,69.00,31.33,59.97,34.81,64.58,32.84,30.93,30.68,30.66,22.45,18.45,27.03,35.94,32.29,24.96,34.41,32.30,28.11,32.12,25.36,33.99,0.830558639,0.739182692,0.30276437
91.107.M13,Draught,8,Castrated Male,230.20,64.00,29.65,58.95,31.18,60.23,30.39,29.13,27.71,28.01,19.83,18.04,26.30,35.19,31.51,24.66,,32.44,26.80,31.46,24.99,33.63,0.753992395,0.731549067,0.278019114
91.107.M14,Draught,10,Castrated Male,230.20,62.06,29.52,55.39,30.55,56.55,29.65,28.37,28.74,27.89,21.69,17.81,24.92,34.71,29.81,22.86,33.35,29.90,26.04,29.99,23.20,31.61,0.870385233,0.779090114,0.269591659
91.107.M22,Draught,,Castrated Male,,,,,,,,,,,,,,,,,,,,,,,,,
91.107.M23,Draught,,Castrated Male,,,,,,,,,,,,,,,,,,,,,,,,,
91.107.M24,Draught,,Castrated Male,,,,,,,,,,,,,,,,,,,,,,,,,
91.107.M25,Draught,,Castrated Male,,,,,,,,,,,,,,,,,,,,,,,,,
RGB57,Non-draught,2,Male,,,,,,,,,,,,,,,,,,,,,,,,,
RGB61,Non-draught,2,Male,,,,,,,,,,,,,,,,,,,,,,,,,
RGB62,Non-draught,,Male,,,,,,,,,,,,,,,,,,,,,,,,,
RGB66,Non-draught,2,Male,,,,,,,,,,,,,,,,,,,,,,,,,
RGB68,Non-draught,,Male,,,,,,,,,,,,,,,,,,,,,,,,,
RGB69,Non-draught,,Male,,,,,,,,,,,,,,,,,,,,,,,,,
RGB55,Non-draught,,Male,245.00,69.98,32.50,66.10,38.20,65.36,32.44,32.21,32.37,32.34,20.76,19.40,30.04,41.03,35.25,28.24,40.98,36.85,30.92,35.39,28.63,37.58,0.691078562,0.686968839,0.285632653
RGB59,Non-draught,,Male,233.80,61.27,31.18,60.32,35.13,60.77,28.77,27.74,27.92,27.68,18.54,16.15,26.62,35.58,32.48,25.40,35.38,33.29,27.75,32.53,25.39,34.82,0.69646882,0.635826772,0.262061591
RGB64,Non-draught,,Male,236.10,63.96,28.85,59.15,31.99,65.73,30.90,29.64,30.98,29.77,19.80,18.44,27.03,36.24,32.43,25.63,35.88,33.38,28.20,32.98,25.98,34.71,0.732519423,0.719469372,0.27090216